Death Daily Trends - United States,,
Date generated: Mon Nov 09 2020 14:44:17 GMT+0800,,
,,
Date,New Deaths,7-Day Moving Avg
Jul 8 2020,991,576
Jul 7 2020,932,538
Jul 6 2020,322,484
Jul 5 2020,238,491
Jul 4 2020,268,584
Jul 3 2020,709,618
Jul 2 2020,572,610
Jul 1 2020,725,887
Jun 30 2020,560,883
Jun 29 2020,370,915
Jun 28 2020,885,920
Jun 27 2020,508,838
Jun 26 2020,651,845
Jun 25 2020,2516,851
Jun 24 2020,692,596
Jun 23 2020,784,605
Jun 22 2020,410,599
Jun 21 2020,308,611
Jun 20 2020,560,620
Jun 19 2020,690,632
Jun 18 2020,733,635
Jun 17 2020,754,666
Jun 16 2020,738,677
Jun 15 2020,496,708
Jun 14 2020,373,752
Jun 13 2020,646,767
Jun 12 2020,711,776
Jun 11 2020,947,835
Jun 10 2020,834,848
Jun 9 2020,950,848
Jun 8 2020,808,860
Jun 7 2020,474,854
Jun 6 2020,709,885
Jun 5 2020,1128,915
Jun 4 2020,1035,907
Jun 3 2020,832,940
Jun 2 2020,1040,1023
Jun 1 2020,761,985
May 31 2020,696,961
May 30 2020,915,950
May 29 2020,1074,969
May 28 2020,1265,1080
May 27 2020,1415,1055
May 26 2020,770,1052
May 25 2020,592,1131
May 24 2020,620,1180
May 23 2020,1047,1191
May 22 2020,1852,1241
May 21 2020,1089,1165
May 20 2020,1397,1302
May 19 2020,1324,1345
May 18 2020,933,1360
May 17 2020,698,1378
May 16 2020,1394,1419
May 15 2020,1325,1457
May 14 2020,2043,1501
May 13 2020,1701,1539
May 12 2020,1426,1634
May 11 2020,1064,1779
May 10 2020,985,1757
May 9 2020,1660,1862
May 8 2020,1634,1832
May 7 2020,2309,1867
May 6 2020,2366,1873
May 5 2020,2440,1899
May 4 2020,906,1872
May 3 2020,1719,1933
May 2 2020,1454,1896
May 1 2020,1877,1977
Apr 30 2020,2349,1941
Apr 29 2020,2552,1954
Apr 28 2020,2247,1847
Apr 27 2020,1336,1928
Apr 26 2020,1463,2119
Apr 25 2020,2020,2179
Apr 24 2020,1623,2142
Apr 23 2020,2437,2252
Apr 22 2020,1804,2186
Apr 21 2020,2819,2856
Apr 20 2020,2673,2786
Apr 19 2020,1881,2474
Apr 18 2020,1759,2388
Apr 17 2020,2394,2412
Apr 16 2020,1978,2299
Apr 15 2020,6489,2339
Apr 14 2020,2330,1689
Apr 13 2020,489,1455
Apr 12 2020,1277,1836
Apr 11 2020,1927,1838
Apr 10 2020,1605,1723
Apr 9 2020,2258,1644
Apr 8 2020,1941,1454
Apr 7 2020,691,1307
Apr 6 2020,3154,1314
Apr 5 2020,1294,929
Apr 4 2020,1120,786
Apr 3 2020,1053,689
Apr 2 2020,930,599
Apr 1 2020,910,502
Mar 31 2020,743,409
Mar 30 2020,455,330
Mar 29 2020,293,286
Mar 28 2020,444,255
Mar 27 2020,422,201
Mar 26 2020,252,149
Mar 25 2020,257,120
Mar 24 2020,193,91
Mar 23 2020,144,67
Mar 22 2020,76,47
Mar 21 2020,67,39
Mar 20 2020,57,30
Mar 19 2020,50,22
Mar 18 2020,53,16
Mar 17 2020,22,9
Mar 16 2020,8,7
Mar 15 2020,16,6
Mar 14 2020,4,4
Mar 13 2020,6,5
Mar 12 2020,5,4
Mar 11 2020,7,3
Mar 10 2020,4,2
Mar 9 2020,6,2
Mar 8 2020,2,2
Mar 7 2020,5,2
Mar 6 2020,1,1
Mar 5 2020,1,1
Mar 4 2020,1,1
Mar 3 2020,3,1
Mar 2 2020,5,0
Mar 1 2020,0,0
Feb 29 2020,1,0
Feb 28 2020,0,0
Feb 27 2020,0,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,0,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,0,0
Feb 12 2020,0,0
Feb 11 2020,0,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,0,0
Feb 2 2020,0,0
Feb 1 2020,0,0
Jan 31 2020,0,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,0,0
Jan 25 2020,0,0
Jan 24 2020,0,0
Jan 23 2020,0,0
Jan 22 2020,0,0
